@relation atp_matches_2018

@attribute surface {Hard,Clay,Grass}
@attribute winner {Player1,Player2}
@attribute winner_hand {R,L,U}
@attribute winner_ioc {USA,UZB,AUS,GER,UKR,ARG,KOR,GBR,BUL,CRO,RUS,ESP,ITA,BIH,FRA,GRE,SLO,AUT,BRA,SRB,KAZ,HUN,CHI,NED,BLR,IND,RSA,CAN,URU,POR,CZE,SVK,LTU,LUX,NOR,TUN,CYP,BEL,JPN,SUI,ECU,NZL,CHN,COL,DOM,PAK,ISR,SWE,PER,EGY,ESA,EST,ALG,MAR,HKG,DEN,IRL,LIB,TPE,PHI,INA,MEX,ROU,POL,SRI,THA,FIN,ZIM,TUR,VEN,GUA,MDA,LAT}
@attribute winner_age numeric
@attribute loser_hand {R,L,U}
@attribute loser_ioc {ARG,AUS,BIH,USA,LUX,CAN,GER,KOR,UZB,UKR,GBR,BUL,ESP,ITA,ISR,QAT,AUT,SRB,CZE,DOM,TUN,RUS,FRA,SLO,CRO,GRE,BEL,ROU,MDA,IND,BRA,HUN,CHI,BLR,KAZ,NED,RSA,JPN,CHN,NZL,NOR,URU,POR,SVK,LTU,SWE,CYP,SUI,ECU,BAR,BOL,PER,ESA,EST,GEO,IRI,IRL,DEN,TPE,LIB,INA,PHI,PUR,POL,THA,SRI,FIN,TUR,ZIM,GUA,VEN,LAT,MEX,COL,PAK,EGY,HKG,MAR,ALG,MON}
@attribute loser_age numeric
@attribute w_ace numeric
@attribute w_SvGms numeric
@attribute l_ace numeric
@attribute l_SvGms numeric
@attribute winner_rank numeric
@attribute loser_rank numeric

@data
Hard,Player1,R,FRA,33.01,U,ESP,24.93,3,9,1,8,89,198
Hard,Player1,R,CRO,29.26,R,FRA,26.79,7,9,2,8,6,81
Hard,Player1,R,RSA,31.62,R,FRA,28.65,26,16,6,15,14,41
Hard,Player1,R,FRA,33.01,R,CRO,29.26,0,12,9,12,89,6
Hard,Player1,R,FRA,33.01,R,RSA,31.62,1,10,15,10,89,14
Hard,Player1,L,CAN,18.74,R,BRA,33.93,9,9,3,8,50,100
Hard,Player1,R,RUS,21.63,R,JPN,29.31,8,13,3,13,48,41
Hard,Player1,R,URU,32.02,R,JPN,24.95,5,9,2,8,33,98
Hard,Player1,R,KOR,21.64,R,USA,26.47,2,15,7,15,62,96
Hard,Player1,R,POR,28.78,L,USA,28.46,9,15,8,15,59,63
Hard,Player1,R,ESP,35.77,R,CHN,18.24,3,11,5,11,38,313
Hard,Player1,R,ESP,29.74,R,NZL,30.23,3,8,3,7,21,?
Hard,Player1,R,USA,28.04,U,USA,19.96,12,12,7,12,46,397
Hard,Player1,L,CZE,24.5,R,MDA,28.16,4,14,6,14,64,88
Hard,Player1,R,SVK,30.18,R,GRE,19.41,12,16,12,14,90,80
Hard,Player1,R,NED,30.76,R,NOR,19.05,16,14,12,13,43,137
Hard,Player1,R,GER,28.48,R,USA,30.03,2,14,2,14,65,135
Hard,Player1,R,ARG,29.29,L,CAN,18.74,8,9,3,9,12,50
Hard,Player1,R,RUS,21.63,R,URU,32.02,10,10,3,10,48,33
Hard,Player1,R,KOR,21.64,R,USA,32.7,15,16,30,16,62,16
Hard,Player1,R,ESP,35.77,R,POR,28.78,2,8,3,8,38,59
Hard,Player1,R,ESP,29.74,R,USA,28.04,1,12,6,11,21,46
Hard,Player1,L,CZE,24.5,R,USA,30.26,7,17,24,17,64,13
Hard,Player1,R,NED,30.76,R,SVK,30.18,9,11,6,10,43,90
Hard,Player1,R,GER,28.48,R,USA,25.29,9,9,8,9,65,8
Hard,Player1,R,ARG,29.29,R,RUS,21.63,11,11,5,10,12,48
Hard,Player1,R,ESP,35.77,R,KOR,21.64,4,9,2,8,38,62
Hard,Player1,R,ESP,29.74,L,CZE,24.5,2,10,8,10,21,64
Hard,Player1,R,NED,30.76,R,GER,28.48,4,10,7,10,43,65
Hard,Player1,R,ARG,29.29,R,ESP,35.77,1,10,1,10,12,38
Hard,Player1,R,ESP,29.74,R,NED,30.76,7,18,19,18,21,43
Hard,Player1,R,ESP,29.74,R,ARG,29.29,7,15,9,14,21,12
Hard,Player1,R,AUS,28.57,U,AUS,18.43,5,9,5,9,127,621
Hard,Player1,R,FRA,28.67,R,SLO,28.48,12,13,11,15,42,51
Hard,Player1,R,ARG,30.65,L,GER,30.38,5,11,3,10,52,34
Hard,Player1,L,ESP,36.3,R,AUS,21.76,10,15,23,16,36,462
Hard,Player1,R,AUS,18.89,L,ESP,34.15,3,9,3,9,167,40
Hard,Player1,R,BIH,25.64,R,GER,27.71,7,9,7,8,30,53
Hard,Player1,L,FRA,29.53,R,RUS,27.67,8,17,11,17,28,71
Hard,Player1,R,LTU,27.55,L,AUS,25.01,7,17,21,17,138,189
Hard,Player1,R,UKR,29.17,R,SRB,31.91,13,17,13,16,37,54
Hard,Player1,R,RUS,21.91,R,GER,34.23,8,9,1,8,84,29
Hard,Player1,R,USA,21.25,R,FRA,33.03,3,8,2,9,55,57
Hard,Player1,R,ITA,36.07,R,AUS,23.72,15,11,6,11,45,99
Hard,Player1,L,LUX,34.67,R,AUS,28.57,14,11,8,11,25,127
Hard,Player1,R,FRA,28.67,R,ARG,30.65,7,12,5,12,42,52
Hard,Player1,L,ESP,36.3,R,ARG,25.4,15,11,2,10,36,26
Hard,Player1,R,AUS,18.89,R,BIH,25.64,4,5,1,6,167,30
Hard,Player1,L,FRA,29.53,R,LTU,27.55,3,7,0,8,28,138
Hard,Player1,R,ITA,30.63,R,UKR,29.17,4,14,10,14,27,37
Hard,Player1,R,RUS,21.91,R,USA,21.25,6,15,3,16,84,55
Hard,Player1,R,ITA,36.07,L,ESP,29.98,10,11,6,10,45,22
Hard,Player1,R,FRA,28.67,L,LUX,34.67,17,10,5,10,42,25
Hard,Player1,R,AUS,18.89,L,ESP,36.3,5,10,6,10,167,36
Hard,Player1,R,ITA,30.63,L,FRA,29.53,8,16,5,16,27,28
Hard,Player1,R,RUS,21.91,R,ITA,36.07,5,9,0,9,84,45
Hard,Player1,R,AUS,18.89,R,FRA,28.67,3,12,6,12,167,42
Hard,Player1,R,RUS,21.91,R,ITA,30.63,10,13,3,12,84,27
Hard,Player1,R,RUS,21.91,R,AUS,18.89,?,?,?,?,84,167
Hard,Player1,L,ESP,31.62,R,DOM,37.45,2,11,1,10,1,79
Hard,Player1,R,ARG,30.67,R,CHI,22.26,12,14,10,15,52,101
Hard,Player1,R,AUS,28.59,R,CRO,21.17,10,15,2,14,122,46
Hard,Player1,R,BIH,25.66,R,ITA,36.08,3,23,18,24,30,44
Hard,Player1,R,ARG,25.42,R,SRB,27.55,14,30,6,29,26,75
Hard,Player1,R,NOR,19.07,R,FRA,21.22,9,31,27,31,138,134
Hard,Player1,R,UKR,29.19,R,AUT,30.82,11,15,11,16,37,448
Hard,Player1,R,AUS,30.14,R,USA,32.72,13,18,24,19,78,16
Hard,Player1,R,ESP,26.51,R,AUS,24.66,10,20,6,21,11,243
Hard,Player1,R,FRA,33.05,R,ROU,27.25,2,16,12,15,57,92
Hard,Player1,R,TUN,33.99,R,ITA,25.08,9,26,9,25,100,210
Hard,Player1,L,LUX,34.69,L,ARG,27.28,15,16,4,15,28,67
Hard,Player1,R,URU,32.04,R,RUS,35.56,12,17,9,16,34,90
Hard,Player1,R,USA,25.69,R,ISR,32.78,15,25,5,25,45,95
Hard,Player1,R,POR,28.8,R,GER,33.1,7,23,10,25,70,129
Hard,Player1,R,CRO,29.3,R,CAN,27.56,20,19,12,19,6,105
Hard,Player1,R,BUL,26.67,R,AUT,24.38,7,12,3,12,3,226
Hard,Player1,R,USA,22.75,R,SWE,21.77,3,18,2,18,186,140
Hard,Player1,R,CYP,32.58,R,IND,25.53,12,15,0,16,123,119
Hard,Player1,R,RUS,20.24,R,ESP,35.79,13,26,3,26,32,33
Hard,Player1,R,AUS,22.72,R,BRA,33.95,16,13,3,12,17,98
Hard,Player1,R,SRB,31.93,L,AUS,25.03,22,25,12,24,65,188
Hard,Player1,L,CAN,18.75,R,GRE,19.43,9,14,6,14,50,82
Hard,Player1,R,FRA,32.75,U,USA,26.88,5,13,6,14,15,214
Hard,Player1,R,GBR,23.02,R,RSA,31.66,11,25,35,24,49,12
Hard,Player1,R,UZB,31.36,R,FRA,26.83,7,20,10,19,60,74
Hard,Player1,R,RUS,25.89,L,AUT,27.51,4,18,11,18,61,102
Hard,Player1,L,BEL,30,R,FRA,23.89,11,22,14,22,117,18
Hard,Player1,L,JPN,22.3,R,GER,34.25,3,19,8,19,168,29
Hard,Player1,R,ITA,33.9,L,FRA,18.74,2,18,5,17,76,155
Hard,Player1,R,CRO,38.88,R,SRB,22.62,21,17,9,16,89,85
Hard,Player1,R,JPN,29.33,R,USA,25.31,14,21,6,19,41,9
Hard,Player1,R,AUT,24.37,L,ARG,27.67,15,15,3,15,5,56
Hard,Player1,R,USA,25.41,R,USA,28.06,9,21,13,20,190,48
Hard,Player1,L,CZE,24.52,R,CZE,23.66,15,14,1,14,64,225
Hard,Player1,L,FRA,29.55,U,ITA,21.76,1,15,12,15,27,130
Hard,Player1,L,ESP,34.17,R,ESP,29.75,10,15,1,16,40,21
Hard,Player1,L,GER,22.59,L,GER,27.27,8,12,1,13,94,83
Hard,Player1,R,USA,26.49,R,FRA,30.92,12,15,6,15,97,84
Hard,Player1,R,SUI,32.8,R,LTU,27.57,15,20,11,19,8,136
Hard,Player1,R,SRB,30.65,L,USA,28.48,4,13,2,12,14,63
Hard,Player1,R,FRA,31.37,U,ESP,20.7,13,16,6,15,39,187
Hard,Player1,R,USA,30.05,U,AUS,18.45,16,20,17,19,131,550
Hard,Player1,L,ESP,30,R,USA,21.27,3,14,9,13,22,54
Hard,Player1,R,KOR,21.66,L,GER,30.4,3,6,1,7,58,35
Hard,Player1,R,RUS,21.93,R,AUS,21.77,11,21,6,21,53,216
Hard,Player1,R,GER,28.5,R,KAZ,30.06,6,13,1,12,62,69
Hard,Player1,R,GER,20.74,R,ITA,28.64,17,16,5,15,4,73
